,Unnamed: 0,Date,State,City,Summary,Source File,code,Direction,Time,Authority Advised,Route,Location,Altitude,latitude,longitude
61,61,4/11/2022,FLORIDA,MIAMI,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS INCIDENT/1532E/OPA LOCKA ATCT ADVISED, BOMBARDIER CL60, REPORTED UAS AT 12 O'CLOCK POSITION AT 1,300 FEET WHILE SE BOUND 5 NW MIAMI-OPA LOCKA ARPT. ACFT MANEUVERED LEFT TO AVOID UAS. MIAMI DADE PD NOTIFIED. WOC 7-3333 SY/JA",Reported-UAS-Sightings-April-June-2022.xlsx,,SE BOUND,1532E,OPA LOCKA ATCT,,,"AT 1,300 FEET",,
71,71,4/13/2022,CALIFORNIA,CAMARILLO,"PRELIM INFO FROM FAA OPS: CAMARILLO, CA/UAS INCIDENT/1220P/CAMARILLO ATCT ADVISED, CIRRUS SR22, REPORTED A UAS ON 4 MILE FINAL RUNWAY 26 AT 1,000 FEET. NO EVASIVE ACTION REPORTED.  CAMARILLO PD NOTIFIED. WOC 7-3333 JG/ER",Reported-UAS-Sightings-April-June-2022.xlsx,,,1220P,CAMARILLO ATCT,,,,,
90,90,4/17/2022,DISTRICT OF COLUMBIA,WASHINGTON,"PRELIM INFO FROM FAA OPS: WASHINGTON, DC/UAS INCIDENT/1314E/POTOMAC TRACON ADVISED , PIPER P28A, REPORTED A WHITE UAS 500 FEET BELOW ACFT AT THE 12 O'CLOCK POSITION WHILE E BOUND AT 2,000 FEET. NO EVASIVE ACTION TAKEN. ANNE ARUNDEL PD NOTIFIED. WOC 7-3333 SZ/EF",Reported-UAS-Sightings-April-June-2022.xlsx,,E BOUND,1314E,POTOMAC TRACON,,,,,
92,92,4/17/2022,CALIFORNIA,SACRAMENTO,"PRELIM INFO FROM FAA OPS: SACRAMENTO, CA/UAS INCIDENT/1400P/NORCAL TRACON ADVISED, C172,  PILOT REPORTED A UAS WHILE NORTH BOUND AT 6,500 FEET, 5 MILES W SACRAMENTO MCCLELLAN ARPT. UAS WAS OBSERVED OPERATING AN ALTITUDE BETWEEN 4,500-5,000 FEET. NO EVASIVE ACTION TAKEN. SACRAMENTO SHERIFF DEPARTMENT NOTIFIED. WOC 7-3333 JA/EF",Reported-UAS-Sightings-April-June-2022.xlsx,,NORTH BOUND,1400P,NORCAL TRACON,,,,,
98,98,4/18/2022,KANSAS,TOPEKA,"PRELIM INFO FROM FAA OPS: TOPEKA, KS/UAS INCIDENT/1248C/KANSAS ARTCC ADVISED, K35R, REPORTED A WHITE UAS FROM ABOVE  AT 4,000 FEET WHILE NW BOUND .5 SE TOPEKA. NO EVASIVE ACTION TAKEN. TOPEKA PD NOTIFIED. WOC 7-3333 RL/EF",Reported-UAS-Sightings-April-June-2022.xlsx,,NW BOUND,1248C,KANSAS ARTCC,,,"AT 4,000 FEET",,
276,276,5/13/2022,GEORGIA,ATLANTA,"PRELIM INFO FROM FAA OPS: ATLANTA, GA/UAS INCIDENT/1354E/PEACHTREE ATCT ADVISED, GULFSTREAM GLF280, REPORTED UAS WHILE S BOUND AT 1,500 FEET 2 N DEKALB-PEACHTREE ARPT. NO EVASIVE ACTION REPORTED. CHAMBLEE PD NOTIFIED. WOC 7-3333 MK/JW",Reported-UAS-Sightings-April-June-2022.xlsx,,S BOUND,1354E,PEACHTREE ATCT,,,"AT 1,500 FEET",,
312,312,5/17/2022,TEXAS,HOUSTON,"PRELIM INFO FROM FAA OPS: HOUSTON, TX/UAS INCIDENT/1045C/SUGAR LAND ATCT ADVISED, HONDA HDJT,  REPORTED A WHITE UAS AT 1,600 FEET WHILE S BOUND 4 N SUGAR LAND REGIONAL ARPT. NO EVASIVE ACTION TAKEN. LEO NOTIFIED. PHONE NUMBER NOT PROVIDED. WOC 7-3333 SY/EF",Reported-UAS-Sightings-April-June-2022.xlsx,,S BOUND,1045C,SUGAR LAND ATCT,,4 N SUGAR LAND REGIONAL ARPT,"AT 1,600 FEET",,
317,317,5/18/2022,MASSACHUSETTS,NORWOOD,"PRELIM INFO FROM FAA OPS: NORWOOD, MA/UAS INCIDENT/0915E/NORWOOD ATCT ADVISED, PIPER PA31, REPORTED UAS AT 9 O'CLOCK POSITION AT 1,500 FEET WHILE E BOUND VCNTY NORWOOD MEMORIAL ARPT. NO EVASIVE ACTION TAKEN.  LEO NOTIFICATION NOT REPORTED. WOC 7-3333 RL/EF",Reported-UAS-Sightings-April-June-2022.xlsx,,E BOUND,0915E,NORWOOD ATCT,,,"AT 1,500 FEET",,
329,329,5/20/2022,TENNESSEE,SMYRNA,"PRELIM INFO FROM FAA OPS: SMYRNA, TN/UAS INCIDENT/1705C/SMYRNA ATCT ADVISED, H60, REPORTED A UAS AT THE 9 O'CLOCK POSITION WHILE E BOUND AT 3,000 FEET NO EVASIVE ACTION TAKEN. SMYRNA ARPT PD NOTIFIED. WOC 7-3333 HM/JO",Reported-UAS-Sightings-April-June-2022.xlsx,,E BOUND,1705C,SMYRNA ATCT,,,"AT 3,000 FEET",,
352,352,5/24/2022,MICHIGAN,HOLLAND,"PRELIM INFO FROM FAA OPS: HOLLAND, MI/UAS INCIDENT/1730E/GREAT LAKES APCH ADVISED, CESSNA C550, REPORTED A UAS FROM THE 9 O'CLOCK POSITION WHILE E BOUND AT 500 FEET ON 1 MILE FINAL RUNWAY 8. NO EVASIVE ACTION TAKEN. ALLEGAN COUNTY SHERIFF NOTIFIED. WOC 7-3333 TB/JW",Reported-UAS-Sightings-April-June-2022.xlsx,,E BOUND,1730E,GREAT LAKES APCH,,,AT 500 FEET,,
