,Day of Sighting,State,City,Summary,Date,code,Direction,Time,Authority Advised,Route,Location,Altitude
0,4/1/2022,PENNSYLVANIA,PITTSBURGH,"PRELIM INFO FROM FAA OPS: PITTSBURGH, PA/UAS INCIDENT/2358E/ALLEGHENY COUNTY ATCT ADVISED, HELO,  REPORTED A UAS FROM THE 9 O'CLOCK POSITION WHILE S BOUND AT 1,600 FEET 6 N AGC. NO EVASIVE ACTION TAKEN. PITTSBURGH PD NOTIFIED WOC 7-3333 TB/ER",,AGC,S BOUND,2358E,ALLEGHENY COUNTY ATCT,,6 N AGC,"AT 1,600 FEET"
1,4/1/2022,FLORIDA,MIAMI,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS INCIDENT/1205E/MIAMI-OPA LOCKA ATCT ADVISED, HAWKER BEECHCRAFT H25B, DAL - OPF, REPORTED A UAS AT THE 12 O'CLOCK POSITION WHILE W BOUND AT 1,500 FEET 5 E OPF. NO EVASIVE ACTION TAKEN. MIAMI-DADE PD NOTIFIED. WOC 7-3333 HM/GG",,OPF,W BOUND,1205E,,DAL - OPF,5 E OPF,"AT 1,500 FEET"
2,4/1/2022,WASHINGTON,SEATTLE,"PRELIM INFO FROM FAA OPS: SEATTLE, WA/UAS INCIDENT/1210P/SEATTLE TRACON ADVISED, CESSNA C680, HDN - BFI, OBSERVED TWO WHITE QUADCOPTER UAS WHILE NNE BOUND AT 3,000 FEET 15 WNW SEATTLE. NO EVASIVE ACTION TAKEN. KING COUNTY PD NOTIFIED VIA 911. WOC 7-3333 GG/JW",,BFI,NNE BOUND,1210P,SEATTLE TRACON,HDN - BFI,15 WNW SEATTLE,"AT 3,000 FEET"
3,4/1/2022,ALABAMA,MOBILE,"PRELIM INFO FROM FAA OPS: MOBILE, AL/UAS INCIDENT/1859C/MOBILE APCH ADVISED CANADIAN, LEARJET LJ45, BFM - FMY, REPORTED A WHITE QUADCOPTER UAS FROM THE 12 O'CLOCK POSITION WHILE SE BOUND AT 6,000 FEET 14 N SEMMES VOR. NO EVASIVE ACTION TAKEN. MOBILE COUNTY SHERIFF NOTIFIED. WOC 7-3333 TB/DJ",,BFM,SE BOUND,1859C,MOBILE APCH,BFM - FMY,14 N SEMMES VOR,"AT 6,000 FEET"
4,4/1/2022,WASHINGTON,SEATTLE,"PRELIM INFO FROM FAA OPS: SEATTLE, WA/UAS INCIDENT/1805P/SEATTLE TRACON ADVISED, B39M, KEFLAVIK, ICELAND (BIKF) - SEA, REPORTED UAS 200 FEET ABOVE ACFT WHILE W BOUND AT 7,000 FEET 17 N SEA. NO EVASIVE ACTION REPORTED. PORT OF SEATTLE PD NOTIFIED VIA 911. WOC 7-3333 DJ/JG",,SEA,W BOUND,1805P,SEATTLE TRACON,"KEFLAVIK, ICELAND (BIKF) - SEA",17 N SEA,"AT 7,000 FEET"
5,4/2/2022,NEW JERSEY,NEWARK,"PRELIM INFO FROM FAA OPS: NEWARK, NJ/UAS INCIDENT/1240E/NEWARK ATCT ADVISED, B738, DFW - EWR, OBSERVED A RED UAS WHILE SOUTHBOUND AT 1,300 FEET 3 N NEWARK. NO EVASIVE ACTION TAKEN. NEWARK ARPT PD NOTIFIED. WOC 7-3333 GG/JF",,DFW,,1240E,NEWARK ATCT,DFW - EWR,3 N NEWARK,"AT 1,300 FEET"
6,4/2/2022,NEW JERSEY,NEWARK,"PRELIM INFO FROM FAA OPS: NEWARK, NJ/UAS INCIDENT/1242E/NEWARK ATCT ADVISED, A333, STOCKHOLM, SWEDEN (ESSA) - EWR, OBSERVED A RED UAS AT THE 3 O'CLOCK POSITION WHILE SOUTHBOUND AT 1,300 FEET 3 N NEWARK. NO EVASIVE ACTION TAKEN. NEWARK ARPT PD NOTIFIED. WOC 7-3333 GG/JF",,EWR,,1242E,NEWARK ATCT,"STOCKHOLM, SWEDEN (ESSA) - EWR",3 N NEWARK,"AT 1,300 FEET"
7,4/2/2022,NEW JERSEY,NEWARK,"PRELIM INFO FROM FAA OPS: NEWARK, NJ/UAS INCIDENT/1243E/NEWARK ATCT ADVISED, B763, LONDON, UNITED KINGDOM (EGLL) - EWR, REPORTED A RED UAS AT SAME ALTITUDE WHILE S BOUND AT 1,300 FEET 3 N EWR. NO EVASIVE ACTION TAKEN. NEWARK INTL ARPT PD NOTIFIED. WOC 7-3333 JF/GG",,EWR,S BOUND,1243E,NEWARK ATCT,"LONDON, UNITED KINGDOM (EGLL) - EWR",3 N EWR,"AT 1,300 FEET"
8,4/2/2022,FLORIDA,FORT LAUDERDALE,"PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS INCIDENT/1425E/MIAMI ARTCC ADVISED A20N, PWM - FLL, REPORTED A BLUE AND WHITE UAS FROM SAME ALTITUDE WHILE S BOUND AT 7,000 FEET 15 NE FLL. NO EVASIVE ACTION TAKEN. BROWARD COUNTY PD NOTIFIED. WOC 7-3333 JF/GG",,FLL,S BOUND,1425E,MIAMI ARTCC,PWM - FLL,15 NE FLL,"AT 7,000 FEET"
9,4/2/2022,TEXAS,FORT WORTH,"PRELIM INFO FROM FAA OPS: FORT WORTH, TX/UAS INCIDENT/1345C/ALLIANCE ATCT ADVISED, GULFSTREAM AEROSPACE G280, REPORTED A BLACK UAS  WHILE NNW BOUND AT 300 FEET ON FINAL FORT WORTH (AFW). NO EVASIVE ACTION REPORTED. LEO NOTIFICATION NOT REPORTED. WOC 7-3333 JW/GG",,AFW,NNW BOUND,1345C,ALLIANCE ATCT,,,AT 300 FEET
10,4/2/2022,TENNESSEE,MURFREESBORO,"PRELIM INFO FROM FAA OPS: MURFREESBORO, TN/UAS INCIDENT/1347C/NASHVILLE APCH ADVISED MULTIPLE ACFT REPORTED A UAS AT 2,000 FEET 3 SE MURFREESBORO (MBT). NO EVASIVE ACTION TAKEN. MURFREESBORO PD NOTIFIED. WOC 7-3333 JW/GG",,MBT,,1347C,NASHVILLE APCH,,3 SE MURFREESBORO (MBT),"AT 2,000 FEET"
11,4/2/2022,NEW JERSEY,TETERBORO,"PRELIM INFO FROM FAA OPS: TETERBORO, NJ/UAS INCIDENT/1745E/NEW YORK TRACON ADVISED, GULFSTREAM GLF4, REPORTED A GREEN UAS AT 2,500 FEET WHILE E BOUND 11 NW TEB. NO EVASIVE ACTION TAKEN. NJ HOMELAND SECURITY NOTIFIED. WOC 7-3333 RL/EF",,TEB,E BOUND,1745E,NEW YORK TRACON,,11 NW TEB,"AT 2,500 FEET"
12,4/3/2022,ILLINOIS,SPRINGFIELD,"SPRINGFIELD, IL (SPI): ILU45X, P28A, TAZ-CMI, DURING DEPARTURE REPORTED A YELLOW DRONE 300 FEET ABOVE DEPARTURE END OF RWY 18 SOUTHBOUND. NO EVASIVE ACTION REPORTED. CLOSEST PROXIMITY: 50 FT AT 9 O'CLOCK POSITION. LAW ENFORCEMENT NOTIFICATION NOT REPORTED. 04/03/2022 1750Z",,SPI,,,,,,
13,4/3/2022,FLORIDA,ORLANDO,"PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS INCIDENT/1508E/ORLANDO ATCT ADVISED, LJ45, REPORTED A BLUE AND WHITE UAS AT 1,600 FEET ON LEFT SIDE OF NOSE WHILE ON 6.5 MILE FINAL RUNWAY36L. THE PILOT ADVISED IT LOOKED LIKE A SMALL BLIMP.  NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC 7-3333 EC/MK",,AND,,1508E,ORLANDO ATCT,,,"AT 1,600 FEET"
14,4/3/2022,CALIFORNIA,SAN FRANCISCO,"PRELIM INFO FROM FAA OPS: SAN FRANCISCO, CA/UAS INCIDENT/1410P/NORCAL TRACON ADVISED, B38M, SAV - MDW, REPORTED A BLACK UAS OF UNSPECIFIED SIZE AT 3,700 FEET WHILE NW BOUND 4 NE SFO. NO EVASIVE ACTION REPORTED. LEO NOTIFICATION NOT REPORTED. WOC 7-3333 EC/MK",,SAV,NW BOUND,1410P,NORCAL TRACON,SAV - MDW,4 NE SFO,"AT 3,700 FEET"
15,4/3/2022,CALIFORNIA,LOS ANGELES,"PRELIM INFO FROM FAA OPS: LOS ANGELES, CA/UAS INCIDENT/1347P/LOS ANGELES ATCT ADVISED, B789, AUCKLAND, NZ (NZAA) - LAX, REPORTED BLUE UAS 100 FEET ABOVE ACFT WHILE W BOUND AT 2,500 FEET ON 6 MILE FINAL TO RUNWAY 24R 8 E LAX. NO EVASIVE ACTION REPORTED. LAPD NOTIFIED. WOC 7-3333 MK/EC",,24R,W BOUND,1347P,LOS ANGELES ATCT,"AUCKLAND, NZ (NZAA) - LAX",8 E LAX,"AT 2,500 FEET"
16,4/3/2022,WASHINGTON,SEATTLE,"PRELIM INFO FROM FAA OPS: SEATTLE, WA/UAS INCIDENT/1414P/SEATTLE TRACON ADVISED, E75L, SEA - ONT, REPORTED A BLACK UAS AT 3,500 FEET WHILE SE BOUND 4 SE SEA. NO EVASIVE ACTION REORTED. PORT OF SEATTLE PD NOTIFIED AT 911. WOC 7-3333 EC/MK",,ONT,SE BOUND,1414P,SEATTLE TRACON,SEA - ONT,4 SE SEA,"AT 3,500 FEET"
17,4/3/2022,CALIFORNIA,SAN FRANCISCO,"PRELIM INFO FROM FAA OPS: SAN FRANCISCO, CA/UAS INCIDENT/1430P/SAN FRANCISCO ATCT ADVISED, A321, TORONTO, CANADA (CYYZ) - SFO, OBSERVED A RED UAS WHILE NW BOUND AT 1,800 FEET 5.5 E SFO. NO EVASIVE ACTION WAS TAKEN. SFO AIRPORT PD NOTIFIED. WOC 7-3333 EF/RL",,SFO,NW BOUND,1430P,SAN FRANCISCO ATCT,"TORONTO, CANADA (CYYZ) - SFO",,"AT 1,800 FEET"
19,4/4/2022,LOUISIANA,NEW ORLEANS,"PRELIM INFO FROM FAA OPS: NEW ORLEANS, LA/UAS INCIDENT/1125C/NEW ORLEANS APCH ADVISED, CESSNA C56X, AGS - MSY, REPORTED A UAS FROM THE RIGHT SIDE WHILE SE BOUND AT 1,600 FEET 5 WNW MSY. NO EVASIVE ACTION TAKEN. ST CHARLES PARISH SHERIFF NOTIFIED. WOC 7-3333 RC/MK",,AGS,SE BOUND,1125C,NEW ORLEANS APCH,AGS - MSY,5 WNW MSY,"AT 1,600 FEET"
20,4/4/2022,CALIFORNIA,LONG BEACH,"PRELIM INFO FROM FAA OPS: LONG BEACH, CA/UAS INCIDENT/1305P/LONG BEACH ATCT ADVISED, CESSNA C172, LGB - LGB, REPORTED A BLACK/YELLOW UAS WHILE W BOUND AT 800 FEET 2 E LGB. NO EVASIVE ACTION TAKEN. LONG BEACH PD NOTIFIED. WOC 7-3333 RC/MK",,LGB,W BOUND,1305P,LONG BEACH ATCT,LGB - LGB,2 E LGB,AT 800 FEET
