date_of_sighting,state,city,summary,drone_latitude,drone_longitude,drone_altitude_ft,Facility Name,Facility Type,Time,Time_UTC,index_right,airspace_name,min_altitude,max_altitude,airspace_class
2022-04-21,TENNESSEE,NASHVILLE,"PRELIM INFO FROM FAA OPS: NASHVILLE, TN/UAS INCIDENT/1205C/NASHVILLE APCH ADVISED CESSNA C650, REPORTED A WHITE UAS FROM THE 10 O'CLOCK POSITION WHILE NE BOUND AT 4,000 FEET 10 SE NASHVILLE. NO EVASIVE ACTION REPORTED. NASHVILLE ARPT PD NOTIFIED. WOC 7-3333 DJ/ER",39.97777330362587,-104.43610033851886,4000,LAND,AIRPORT,1205C,2022-04-21 18:05:00,77.0,DENVER CLASS B AREA F,3657.6,3657.6,B
2022-05-10,RHODE ISLAND,PAWTUCKET,"PRELIM INFO FROM FAA OPS: PAWTUCKET, RI/UAS INCIDENT/1933E/PROVIDENCE APCH ADVISED, PIPER P28A, REPORTED A WHITE UAS 500 FEET BELOW ACFT FROM THE 6 O'CLOCK POSITION WHILE NE BOUND AT 4,000 FEET 1 S PAWTUCKET. NO INJURIES REPORTED. LOCAL LEO TO BE NOTIFIED. WOC 7-3333 TB/HM",39.71136137760711,-104.990677777778,4000,DENVER HEALTH,HELIPORT,1933E,2022-05-11 00:33:00,76.0,DENVER CLASS B AREA E,3657.6,3657.6,B
2022-05-13,MASSACHUSETTS,BEDFORD,"PRELIM INFO FROM FAA OPS: BEDFORD, MA/UAS INCIDENT/1356E/HANSCOM ATCT REPORTED UAS AT 1,500 FEET 2 S BEDFORD. NO IMPACT TO OPERATIONS REPORTED.  MASSACHUSETTS STATE POLICE NOTIFIED. WOC 7-3333 RL/MK",39.99525194102431,-86.2514047222222,1500,INDIANAPOLIS EXEC,AIRPORT,1356E,2022-05-13 18:56:00,,,,,
2022-05-15,WEST VIRGINIA,HUNTINGTON,"PRELIM INFO FROM FAA OPS: HUNTINGTON, WV/UAS INCIDENT/1145E/HUNTINGTON APCH ADVISED, CESSNA C182, REPORTED A REFLECTIVE ORANGE UAS 150 FEET BELOW ACFT FROM THE 12 O'CLOCK POSITION WHILE S BOUND AT 500 FEET 2 S HUNTINGTON. NO EVASIVE ACTION REPORTED.  CABELL COUNTY NOTIFIED VIA 911. WOC 7-3333 JG/DJ",25.87398293603788,-80.2782222222222,500,MIAMI-OPA LOCKA EXEC,AIRPORT,1145E,2022-05-15 16:45:00,165.0,MIAMI CLASS B AREA D,2133.6,2133.6,B
2022-05-28,MICHIGAN,HOLLAND,"PRELIM INFO FROM FAA OPS: HOLLAND, MI/UAS INCIDENT/1025E/ CESSNA C182, REPORTED A UAS WHILE N BOUND AT 2,500 FEET 15 E HOLLAND. NO EVASIVE ACTION TAKEN. OTTAWA CITY DISPATCH NOTIFIED. WOC 7-3333 TB/GG",36.905654988387,-121.53129912913931,2500,MONTEREY BAY ACADEMY,AIRPORT,1025E,2022-05-28 15:25:00,,,,,
2021-07-04,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS INCIDENT/1357E/CHARLESTON APCH ADVISED , CESSNA C172, REPORTED A WHITE/BLACK UAS FROM THE 9 O'CLOCK POSITION WHILE NNW BOUND AT 3,500 FEET 21 WNW CHARLESTON. NO EVASIVE ACTION TAKEN. CHARLESTON COUNTY SHERIFF NOTIFIED.",33.03224776965219,-80.42515501684504,3500,CHARLESTON AFB/INTL,AIRPORT,1357E,2021-07-04 18:57:00,,,,,
2021-07-08,TEXAS,CORPUS CHRISTI,"PRELIM INFO FROM FAA OPS: CORPUS CHRISTI, TX/UAS INCIDENT/1136C/CORPUS CHRISTI APCH ADVISED , PILATUS PC12, REPORTED A UAS FROM THE 10 O'CLOCK POSITION WHILE SE AT 5,000 FEET 1 NW CORPUS CHRISTI. NO EVASIVE ACTION TAKEN. CORPUS CHRISTI PD NOTIFIED.",46.57994655080455,-120.56114745275218,5000,YAKIMA AIR TRML/MCALLISTER FLD,AIRPORT,1136C,2021-07-08 17:36:00,1278.0,YAKIMA CLASS D,1097.28,1097.28,D
2021-07-14,ALABAMA,MOBILE,"PRELIM INFO FROM FAA OPS: MOBILE, AL/UAS INCIDENT/1438C/MOBILE APPROACH ADVISED , C130, REPORTED UAS AT THE 11 O'CLOCK POSITION AT 1,800 FEET 2 E MOBILE. EVASIVE ACTION WAS TAKEN. PIC REPORTED NMAC WITH UAS. MOBILE COUNTY SHERIFF NOTIFIED.",30.49197484767271,-88.15872773497703,1800,DALE O GALER AERODROME,HELIPORT,1438C,2021-07-14 20:38:00,,,,,
2021-08-07,NEW JERSEY,ATLANTIC CITY,"PRELIM INFO FROM FAA OPS: ATLANTIC CITY, NJ/UAS INCIDENT/1444E/[REPORTING FACILITY] ADVISED , CIRRUS SF50, REPORTED A YELLOW UAS WHILE S BOUND AT 12,000 FEET 12 S ATLANTIC CITY. NO EVASIVE ACTION REPORTED. NJ STATE PD NOTIFIED.",30.4908634515708,-82.5676305555556,12000,FARGO,AIRPORT,1444E,2021-08-07 19:44:00,,,,,
2021-08-27,VIRGINIA,NORFOLK,"PRELIM INFO FROM FAA OPS: NORFOLK, VA/UAS INCIDENT/2210E/NORFOLK APCH ADVISED , BOMBARDIER CL30, REPORTED DARK COLORED UAS AT SAME ALTITUDE WHILE NE BOUND AT 3,500 FEET 18 NNE NORFOLK. NO EVASIVE ACTION REPORTED. VA STATE PD NOTIFIED.",37.20942371245256,-76.15823282008418,3500,COMLANTFLT,SEAPLANE BASE,2210E,2021-08-28 03:10:00,,,,,
2021-09-06,FLORIDA,HOLLYWOOD,"PRELIM INFO FROM FAA OPS: HOLLYWOOD, FL/UAS INCIDENT/1140E/MIAMI APPROACH ADVISED , CESSNA C172, OBSERVED A UAS WHILE EASTBOUND AT 2,000 FEET, 10 E HOLLYWOOD. PILOT MANEUVERED TO RIGHT TO AVOID UAS. MIAMI-DADE PD NOTIFIED.",26.011083046332832,-79.96449042678053,200,,,1140E,2021-09-06 16:40:00,478.0,FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL AIRPORT CLASS C AREA G,1219.2,1219.2,C
2021-09-20,NORTH CAROLINA,BURLINGTON,"PRELIM INFO FROM FAA OPS: BURLINGTON, NC/UAS INCIDENT/1802E/GREER APCH ADVISED , CESSNA C525, REPORTED A WHITE UAS WHILE N BOUND AT 3,000 FEET 5 NNW BURLINGTON. NO EVASIVE ACTION TAKEN. ALAMANCE COUNTY SHERIFF NOTIFIED.",32.75867762698248,-87.69988550282817,3000,GREENSBORO MUNI,AIRPORT,1802E,2021-09-20 23:02:00,1711.0,BIRMINGHAM 0700-2200 DAILY AND BY NOTAM,5486.1,5486.1,
2021-09-26,PENNSYLVANIA,PITTSBURGH,"PRELIM INFO FROM FAA OPS: PITTSBURGH, PA/UAS INCIDENT/1345E/ALLEGHENY COUNTY ARPT ADVISED , EUROCOPTER EC35, REPORTED A UAS WHILE S BOUND AT 2,300 FEET 5.5 W ALLEGHENY. NO EVASIVE ACTION TAKEN. WASHINGTON COUNTY NOTIFIED VIA 911.",35.03888020264392,-106.71989574314915,2300,ALBUQUERQUE INTL SUNPORT,AIRPORT,1345E,2021-09-26 18:45:00,379.0,ALBUQUERQUE INTL AIRPORT CLASS C,2865.12,2865.12,C
2021-09-29,NORTH CAROLINA,LIBERTY,"PRELIM INFO FROM FAA OPS: LIBERTY, NC/UAS INCIDENT/1717E/GREENSBORO APPROACH ADVISED , CESSNA C172, OBSERVED UAS ON RIGHT SIDE WHILE EASTBOUND AT 6,000 FEET, 11 SW LIB VOR. NO EVASIVE ACTION REPORTED. RANDOLPH COUNTY SHERIFF NOTIFIED.",64.68584034203705,-148.158480325967,600,FAIRBANKS INTL,AIRPORT,1717E,2021-09-29 22:17:00,,,,,
2020-04-14,FLORIDA,LA BELLE,"FOLLOW UP INFO FROM FAA OPS: LA BELLE, FL/UAS INCIDENT/1420E/E-ROC ADVISED PIPER P28A, OBSERVED A 15 FOOT WHITE GLIDER TYPE UAS FROM THE 2 O'CLOCK POSITION WHILE NE BOUND DESCENDING THROUGH 4,500 FEET 12 NE LA BELLE VORTAC, FL. ACFT CLIMBED IN RESPONSE TO UAS. HENDRY COUNTY SHERIFF NOTIFIED.",26.892806099201213,-81.23001193909181,450,,,1420E,2020-04-14 19:20:00,,,,,
2020-05-22,MAINE,BANGOR,"PRELIM INFO FROM FAA OPS: BANGOR, ME/UAS INCIDENT/1705E/BANGOR ATCT RECEIVED PHONE CALL FROM NEARBY RESIDENT STATING A UAS WAS OPERATING AT 200 FEET NEAR A HOSPITAL 5 SE BANGOR. NO IMPACT TO OPERATIONS OR AIRCRAFT. LEOS NOT NOTIFIED.",33.911031848865285,-118.20680388904884,200,RANDY CHAMPE-GARY HOWE MEML,HELIPORT,1705E,2020-05-22 22:05:00,145.0,LOS ANGELES CLASS B AREA C,3048.0,3048.0,B
2020-06-08,OHIO,AKRON,"PRELIM INFO FROM FAA OPS: AKRON, OH/UAS INCIDENT/1230E/CLEVELAND APCH ADVISED PIPER P28A, REPORTED A WHITE UAS WHILE ENE BOUND AT 2,100 FEET 6 SW AKRON VOR. 90 DEGREE TURN REQUIRED TO AVOID IMPACT TAKEN. FBI NOTIFIED.",42.26304592537577,-71.16659751088628,2100,BOSTON MEDICAL CENTER HOSPITAL,HELIPORT,1230E,2020-06-08 17:30:00,16.0,BOSTON CLASS B AREA B,2133.6,2133.6,B
2020-06-09,NAN,FREEPORT,"PRELIM INFO FROM FAA OPS: FREEPORT, BAHAMAS/UAS INCIDENT/0906L/CESSNA P337, REPORTED A UAS WHILE E BOUND AT 13,000 FEET 20 N FREEPORT NDB. NO EVASIVE ACTION TAKEN. NO LEO NOTIFICATION REPORTED.",28.955309775481552,-81.6391666666667,13000,ORLANDO,SEAPLANE BASE,0906L,2020-06-09 20:06:00,3020.0,R2910B INT 0800-2400 DAILY AND BY NOTAM 119.525,1828.8,1828.8,
2020-06-12,PENNSYLVANIA,HARRISBURG,"PRELIM INFO FROM FAA OPS: HARRISBURG, PA/UAS INCIDENT/1057E/CIRRUS SR20, REPORTED A COPPER UAS WHILE E BOUND AT 5,000 FEET 5 W HARRISBURG. NO EVASIVE ACTION REPORTED. PA STATE PD NOTIFIED.",40.26625949398417,-76.99497494539794,5000,,,1057E,2020-06-12 15:57:00,,,,,
2020-06-12,COLORADO,DENVER,"PRELIM INFO FROM FAA OPS: DENVER, CO/UAS INCIDENT/1003M/HELO, REPORTED A FIXED WING UAS WHILE N BOUND AT 6,500 FEET OVER CHERRY CREEK RESERVOIR 4 N CENTENNIAL ARPT. ARAPAHOE COUNTY SHERIFF DISPATCH NOTIFIED",39.73778244345503,-104.976205555556,6500,ADVENTHEALTH PORTER,AIRPORT,1003M,2020-06-12 22:03:00,76.0,DENVER CLASS B AREA E,3657.6,3657.6,B
2020-06-14,NEW YORK,EAST HAMPTON,"PRELIM INFO FROM FAA OPS: EAST HAMPTON, NY/UAS INCIDENT/1338E/CESSNA C172, REPORTED A UAS WHILE E BOUND AT 600 FEET 1 W HTO. NO EVASIVE ACTION TAKEN. EAST HAMPTON PD NOTIFIED.",34.693434435051245,-97.9183678653907,600,L&L,AIRPORT,1338E,2020-06-14 18:38:00,1348.0,SHEPPARD 2 NORM MON-FRI SR-1HR-SS+1HR AND BY NOTAM 118.75,5486.4,5486.4,
2020-06-16,ARIZONA,MESA,"PRELIM INFO FROM FAA OPS: MESA, AZ/UAS INCIDENT/LATE REPORT 6-16 1800M/SOUTHWEST COORDINATION CENTER REPORTED A WHITE UAS ORBITING AT APPROXIMATELY 3,500 FEET 10 NE MESA. IMPACT TO FIRE FIGHTING NOTAM FDC 0/0286. HELO OPERATIONS SUSPENDED FOR UNKN TIME. NO EVASIVE ACTION REPORTED. LEO NOTIFICATION NOT REPORTED.",29.935517902945655,-95.52764193356411,350,HOUSTON,HELIPORT,1800M,2020-06-17 06:00:00,107.0,HOUSTON CLASS B AREA B,3048.0,3048.0,B
2020-06-24,CALIFORNIA,LIVERMORE,"PRELIM INFO FROM FAA OPS: LIVERMORE, CA/UAS INCIDENT/1130P/CIRRUS SR22, REPORTED A WHITE UAS AT 3 O'CLOCK POSITION AT SAME ALTITUDE OF 1,000 FEET 1 W LIVERMORE. EVASIVE ACTION NOT REPORTED. LIVERMORE PD NOTIFIED.",37.682056431195164,-121.78904827812005,100,,,1130P,2020-06-24 08:30:00,1012.0,LIVERMORE CLASS D,883.92,883.92,D
2020-06-30,ILLINOIS,NORTHBROOK,"PRELIM INFO FROM FAA OPS: NORTHBROOK, IL/UAS INCIDENT/0910C/C-ROC ADVISED CESSNA C206, REPORTED A BLACK & WHITE QUADCOPTER UAS WHILE E BOUND AT 4,200 FEET 25 NW NORTHBROOK VOR (OBK). EAVASIVE ACTION WAS TAKEN. HARVARD PD NOTIFIED.",30.543071313230765,-92.58285162651606,4200,PHOENIX,AIRPORT,0910C,2020-06-30 15:10:00,,,,,
2022-02-10,KANSAS,WICHITA,"PRELIM INFO FROM FAA OPS: WICHITA, KS/UAS INCIDENT/1610C/WICHITA APPROACH ADVISED WICHITA PD REPORTED A UAS AT 300 FEET 4.6 N WICHITA ARPT. THERE WAS A SHOOTING IN THE AREA WITH POLICE ACTIVE. NO ACFT INVOLVEMENT. WICHITA PD.",38.53427187221136,-101.350864722222,300,MARK HOARD MEML,SEAPLANE BASE,1610C,2022-02-10 22:10:00,,,,,
2021-03-11,IDAHO,BOISE,"PRELIM INFO FROM FAA OPS: BOISE, ID/UAS INCIDENT/1335M/BOISE APCH ADVISED , ROBINSON R22, REPORTED A WHITE QUADCOPTER UAS AT THE 12 O'CLOCK POSITION WHILE E BOUND AT 5,000 FEET 15 SW BOISE. NO EVASIVE ACTION REPORTED. ADA COUNTY SHERIFF NOTIFIED.",43.894193914571176,-116.03566057404852,5000,BLACK BEAR RANCH,AIRPORT,1335M,2021-03-12 01:35:00,,,,,
2024-10-12,NEW JERSEY,WRIGHTSTOWN,"PRELIM INFO FROM FAA OPS: WRIGHTSTOWN, NJ/UAS SIGHTING/1137E/MCGUIRE AFB ADVISED, CIRRUS SR22, REPORTED A BLACK UAS AT THE 3 O'CLOCK POSITION WHILE SW BOUND AT 6,500 FEET 12.5 E MCGUIRE VORTAC. NO EVASIVE ACTION TAKEN. BURLINGTON COUNTY SHERIFF NOTIFIED. WOC MC/SY ",43.10720393971097,-78.66144481372828,6500,NIAGARA FALLS INTL,AIRPORT,1137E,2024-10-12 16:37:00,,,,,
2024-10-21,OHIO,YOUNGSTOWN/WARREN,"PRELIM INFO FROM FAA OPS: YOUNGSTOWN/WARREN, OH/UAS SIGHTING/1517E/YOUNGSTOWN APPROACH ADVISED, CESSNA C172, OBSERVED A SMALL UAS WHILE WESTBOUND AT 4,000 FEET, 13 E YOUNGSTOWN. NO EVASIVE ACTION REPORTED. MERCER COUNTY PD NOTIFIED.",41.26119840627748,-80.38815199907135,400,,,1517E,2024-10-21 20:17:00,,,,,
2023-06-05,NORTH CAROLINA,FAYETTEVILLE,"PRELIM INFO FROM FAA OPS: FAYETTEVILLE, NC/UAS SIGHTING/0959E/FAYATEVILLE APPROACH ADVISED, CESSNA C172, OBSERVED A UAS WHILE NORTHEAST BOUND AT 3,000 FEET, 30 SW FAYATEVILLE. NO EVASIVE ACTION REPORTED. NO LEO NOTIFICATION PROVIDED.",33.619855315748424,-118.05985712470226,300,CHINO,AIRPORT,0959E,2023-06-05 14:59:00,152.0,LOS ANGELES CLASS B AREA J,3048.0,3048.0,B
