,date_of_sighting,state,city,summary,faa_code,Facility Type,latitude,longitude,airport_state,airport_county,Facility Name
0,2022-04-21,TENNESSEE,NASHVILLE,"PRELIM INFO FROM FAA OPS: NASHVILLE, TN/UAS INCIDENT/1205C/NASHVILLE APCH ADVISED CESSNA C650, REPORTED A WHITE UAS FROM THE 10 O'CLOCK POSITION WHILE NE BOUND AT 4,000 FEET 10 SE NASHVILLE. NO EVASIVE ACTION REPORTED. NASHVILLE ARPT PD NOTIFIED. WOC 7-3333 DJ/ER",CO82,AIRPORT,40.0958158333333,-104.589406111111,COLORADO,WELD,LAND
1,2022-05-10,RHODE ISLAND,PAWTUCKET,"PRELIM INFO FROM FAA OPS: PAWTUCKET, RI/UAS INCIDENT/1933E/PROVIDENCE APCH ADVISED, PIPER P28A, REPORTED A WHITE UAS 500 FEET BELOW ACFT FROM THE 6 O'CLOCK POSITION WHILE NE BOUND AT 4,000 FEET 1 S PAWTUCKET. NO INJURIES REPORTED. LOCAL LEO TO BE NOTIFIED. WOC 7-3333 TB/HM",CO35,HELIPORT,39.7280416666667,-104.990677777778,COLORADO,DENVER,DENVER HEALTH
2,2022-05-13,MASSACHUSETTS,BEDFORD,"PRELIM INFO FROM FAA OPS: BEDFORD, MA/UAS INCIDENT/1356E/HANSCOM ATCT REPORTED UAS AT 1,500 FEET 2 S BEDFORD. NO IMPACT TO OPERATIONS REPORTED.  MASSACHUSETTS STATE POLICE NOTIFIED. WOC 7-3333 RL/MK",TYQ,AIRPORT,40.0286108333333,-86.2514047222222,INDIANA,BOONE,INDIANAPOLIS EXEC
3,2022-05-15,WEST VIRGINIA,HUNTINGTON,"PRELIM INFO FROM FAA OPS: HUNTINGTON, WV/UAS INCIDENT/1145E/HUNTINGTON APCH ADVISED, CESSNA C182, REPORTED A REFLECTIVE ORANGE UAS 150 FEET BELOW ACFT FROM THE 12 O'CLOCK POSITION WHILE S BOUND AT 500 FEET 2 S HUNTINGTON. NO EVASIVE ACTION REPORTED.  CABELL COUNTY NOTIFIED VIA 911. WOC 7-3333 JG/DJ",OPF,AIRPORT,25.9074166666667,-80.2782222222222,FLORIDA,DADE,MIAMI-OPA LOCKA EXEC
4,2022-05-24,MICHIGAN,HOLLAND,"PRELIM INFO FROM FAA OPS: HOLLAND, MI/UAS INCIDENT/1730E/GREAT LAKES APCH ADVISED, CESSNA C550, REPORTED A UAS FROM THE 9 O'CLOCK POSITION WHILE E BOUND AT 500 FEET ON 1 MILE FINAL RUNWAY 8. NO EVASIVE ACTION TAKEN. ALLEGAN COUNTY SHERIFF NOTIFIED. WOC 7-3333 TB/JW",ABQ,AIRPORT,35.0389315555556,-106.608262166667,NEW MEXICO,BERNALILLO,ALBUQUERQUE INTL SUNPORT
5,2022-05-27,ARIZONA,MESA,"PRELIM INFO FROM FAA OPS: MESA, AZ/UAS INCIDENT/LATE REPORT - 1118M/W-ROC ADVISED, CESSNA C172, REPORTED A WHITE UAS WHILE SW BOUND AT 2,400 FEET ON THE LEFT DOWNWIND FOR RUNWAY 22L. MESA PD NOTIFIED. WOC 7-3333 HM/JW",CMA,AIRPORT,34.2137583333333,-119.094354166667,CALIFORNIA,VENTURA,CAMARILLO
6,2022-05-28,MICHIGAN,HOLLAND,"PRELIM INFO FROM FAA OPS: HOLLAND, MI/UAS INCIDENT/1025E/ CESSNA C182, REPORTED A UAS WHILE N BOUND AT 2,500 FEET 15 E HOLLAND. NO EVASIVE ACTION TAKEN. OTTAWA CITY DISPATCH NOTIFIED. WOC 7-3333 TB/GG",CA66,AIRPORT,36.9060638888889,-121.843008888889,CALIFORNIA,SANTA CRUZ,MONTEREY BAY ACADEMY
7,2022-05-30,WISCONSIN,WAUKESHA,"PRELIM INFO FROM FAA OPS: WAUKESHA, WI/UAS INCIDENT/1816C/MILWAUKEE APPROACH ADVISED, BEECH BT36, REPORTED A BLACK MAVIC UAS AT 12 O'CLOCK POSITION 200 FEET BELOW AT 7,000 FEET WHILE S BOUND 4 N WAUKESHA. NO EVASIVE ACTION TAKEN. WAUKESHA COUNTY SHERIFF NOTIFIED. WOC 7-3333 RL/EF",WI39,HELIPORT,43.0669444444444,-88.4672222222222,CALIFORNIA,SANTA CLARA,AURORA SUMMIT MEDICAL CENTER
8,2022-05-30,WISCONSIN,WAUKESHA,"PRELIM INFO FROM FAA OPS: WAUKESHA, WI/UAS INCIDENT/1816C/MILWAUKEE APPROACH ADVISED, BEECH BT36, REPORTED A BLACK MAVIC UAS AT 12 O'CLOCK POSITION 200 FEET BELOW AT 7,000 FEET WHILE S BOUND 4 N WAUKESHA. NO EVASIVE ACTION TAKEN. WAUKESHA COUNTY SHERIFF NOTIFIED. WOC 7-3333 RL/EF",WN46,HELIPORT,43.0675072222222,-88.5087102777778,GEORGIA,CHEROKEE,BATTLE CREEK
9,2022-05-30,WISCONSIN,WAUKESHA,"PRELIM INFO FROM FAA OPS: WAUKESHA, WI/UAS INCIDENT/1816C/MILWAUKEE APPROACH ADVISED, BEECH BT36, REPORTED A BLACK MAVIC UAS AT 12 O'CLOCK POSITION 200 FEET BELOW AT 7,000 FEET WHILE S BOUND 4 N WAUKESHA. NO EVASIVE ACTION TAKEN. WAUKESHA COUNTY SHERIFF NOTIFIED. WOC 7-3333 RL/EF",02C,AIRPORT,43.0896413611111,-88.17944525,NEW YORK,HERKIMER,CAPITOL DRIVE
