,Date,State,City,Summary,code,Direction,Time,Authority Advised,Route,Location,Altitude,latitude,longitude
0,2024-01-01,FLORIDA,MIAMI,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS SIGHTING/0001E/MIAMI ATCT ADVISED, B39M, PANAMA CITY, PANAMA (MPTO) - MIA, REPORTED A UAS AT THE 3 O'CLOCK POSITION WHILE W BOUND AT 500 FEET 1 E MIA. NO EVASIVE ACTION TAKEN. MIAMI-DADE PD NOTIFIED.",MIA,W BOUND,0001E,MIAMI ATCT,"PANAMA CITY, PANAMA (MPTO) - MIA",1 E MIA,AT 500 FEET,25.7953611111111,-80.2901158333333
1,2024-01-01,TEXAS,FORT WORTH,"PRELIM INFO FROM FAA OPS: FORT WORTH, TX/UAS SIGHTING/0015C/MEACHAM ATCT ADVISED, DOUGLAS DC3 , FTW - FTW, REPORTED A UAS WHILE ESE BOUND AT 1,900 FEET 8 ESE FTW. NO EVASIVE ACTION REPORTED. DALLAS-FT WORTH ARPT DPS NOTIFIED.",FTW,ESE BOUND,0015C,MEACHAM ATCT,FTW - FTW,8 ESE FTW,"AT 1,900 FEET",32.8197702777778,-97.36245
2,2024-01-01,THE BAHAMAS,BAHAMAS,"PRELIM INFO FROM FAA OPS: BIMINI, BAHAMAS/UAS SIGHTING/0655E/MIAMI ARTCC ADVISED, CESSNA C208, FLL - GOVERNORS HARBOUR, BAHAMAS (MYEN), REPORTED A UAS AT SAME ALTITUDE WHILE E BOUND AT 9,000 FEET 7 E BIMINI VORTAC. NO EVASIVE ACTION REPORTED. NO LEO NOTIFIED.",FLL,E BOUND,0655E,MIAMI ARTCC,"FLL - GOVERNORS HARBOUR, BAHAMAS (MYEN)",7 E BIMINI VORTAC,"AT 9,000 FEET",26.0716666666667,-80.1496944444444
3,2024-01-01,FLORIDA,MIAMI,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS SIGHTING/1010E/MIA ADVISED, E55P, MIA - HPN, REPORTED A BLACK UAS FROM THE 3 O'CLOCK WHILE 4 W MIA AT 3,500 FEET. NO EVASIVE ACTION TAKEN. MIAMI DADE AVIATION PD NOTIFIED.",HPN,,1010E,MIA,MIA - HPN,4 W MIA,,41.0669530555556,-73.7075661111111
4,2024-01-01,COLORADO,DENVER,"PRELIM INFO FROM FAA OPS: DENVER, CO/UAS SIGHTING/0945M/DEN ATCT ADVISED, A21N, MEXICO CITY, MX- DEN, REPORTED UNAUTHORIZED UAS FROM 12 O'CLOCK POSITION WHILE N BOUND AT 6,000 FEET. NO EVASIVE ACTION TAKEN. LOCAL LEOS NOT NOTIFIED.",DEN,N BOUND,0945M,DEN ATCT,,,,39.8616666666667,-104.673166666667
5,2024-01-01,NORTH CAROLINA,RALEIGH/DURHAM,"PRELIM INFO FROM FAA OPS: RALEIGH/DURHAM, NC/UAS SIGHTING/1405E/RDU ADVISED, P28A, REPORTED WHITE QUADCOPTER  9 N RDU AT 3,000 FEET. NO EVASIVE ACTION TAKEN. LOCAL PD NOTIFIED.",RDU,,1405E,RDU,,9 N RDU,,35.8776388888889,-78.7874722222222
6,2024-01-01,NORTH CAROLINA,RALEIGH/DURHAM,"PRELIM INFO FROM FAA OPS: RALEIGH/DURHAM, NC/UAS SIGHTING/1405E/RDU ADVISED, P28A, REPORTED WHITE QUADCOPTER  9 N RDU AT 3,000 FEET. NO EVASIVE ACTION TAKEN. LOCAL PD NOTIFIED.",RDU,,1405E,RDU,,9 N RDU,,35.8776388888889,-78.7874722222222
7,2024-01-01,GEORGIA,ATLANTA,"PRELIM INFO FROM FAA OPS: ATLANTA, GA/UAS SIGHTING/1444E/ATLANTA TRACON ADVISED, CRJ9, SBN - ATL, REPORTED A LARGE DARK UAS FROM UNKN CLOCK POSITION AT 8,000 FEET 8 NE ATL. NO EVASIVE ACTION TAKEN. LOCAL LEO NOTIFIED.",SBN,,1444E,ATLANTA TRACON,SBN - ATL,8 NE ATL,"AT 8,000 FEET",41.7082238888889,-86.3173375
8,2024-01-01,FLORIDA,MIAMI,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS SIGHTING/1714E/MIAMI ARTCC ADVISED, A319, IAH - MIA, REPORTED A GREY UAS AT THE 9 O'CLOCK POSITION WHILE E BOUND AT 800 FEET 1 SW MIAMI. NO EVASIVE ACTION REPORTED. EL PORTAL VILLAGE PD NOTIFIED.",IAH,E BOUND,1714E,MIAMI ARTCC,IAH - MIA,1 SW MIAMI,AT 800 FEET,29.9844352777778,-95.3414425
9,2024-01-01,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1734E/LAGUARDIA ATCT ADVISED, BELL B206, REPORTED A SMALL UAS 300 FEET ABOVE ACFT AT 1,500 FEET ORBITING OVER EMPIRE STATE BUILDING. NO EVASIVE ACTION TAKEN. NYPD AVIATION UNIT NOTIFIED.",NEW,,1734E,LAGUARDIA ATCT,,,"AT 1,500 FEET",30.0424166666667,-90.02825
10,2024-01-02,FLORIDA,MIAMI,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS SIGHTING/1031E/MIAMI ATCT ADVISED, B738, SAT - MIA, REPORTED UAS FROM THE 2 O'CLOCK POSITION WHILE NW BOUND AT SAME ALTITUDE 4 ESE MIA. NO EVASIVE ACTION TAKEN. MIAMI PD NOTIFIED.",SAT,NW BOUND,1031E,MIAMI ATCT,SAT - MIA,4 ESE MIA,,29.5339583333333,-98.4690569444444
11,2024-01-02,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/1305C/CHICAGO TRACON ADVISED, B738, MCO - ORD, REPORTED A UAS FROM THE 9 O'CLOCK POSITION AT 11,000 FEET 45 NE ORD. NO EVASIVE ACTION TAKEN. LAW ENFORCEMENT NOT NOTIFIED.",MCO,,1305C,CHICAGO TRACON,MCO - ORD,45 NE ORD,"AT 11,000 FEET",28.4293888888889,-81.309
12,2024-01-02,FLORIDA,FORT PIERCE,"PRELIM INFO FROM FAA OPS: FORT PIERCE, FL/UAS SIGHTING/1400E/FORT PIERCE ATCT ADVISED, PIPER P28A, REPORTED A UAS WHILE N BOUND AT 1,100 FEET 1 WNW FPR. NO EVASIVE ACTION TAKEN. ST LUCIE COUNTY SHERIFF NOTIFIED.",FPR,N BOUND,1400E,FORT PIERCE ATCT,,1 WNW FPR,"AT 1,100 FEET",27.4974722222222,-80.3726388888889
13,2024-01-02,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS SIGHTING/1331E/CHARLESTON TOWER ADVISED, CIRRUS SR22, REPORTED A UAS FROM THE 6 O'CLOCK POSITION 12 S CHARLESTON EXECUTIVE AT 2,000 FEET.  NO EVASIVE ACTION TAKEN.  AIRPORT OPS NOTIFIED.",JZI,,1331E,CHARLESTON TOWER,,12 S CHARLESTON EXECUTIVE,,32-42-03.7000N 080-00-11.7000W,W32-42.061667N 080-00.195000
14,2024-01-02,SOUTH CAROLINA,CHARLESTON,"PRELIM INFO FROM FAA OPS: CHARLESTON, SC/UAS SIGHTING/1331E/CHARLESTON TOWER ADVISED, CIRRUS SR22, REPORTED A UAS FROM THE 6 O'CLOCK POSITION 12 S CHARLESTON EXECUTIVE AT 2,000 FEET. NO EVASIVE ACTION TAKEN.  AIRPORT OPS NOTIFIED.",JZI,,1331E,CHARLESTON TOWER,,12 S CHARLESTON EXECUTIVE,,32-42-03.7000N 080-00-11.7000W,W32-42.061667N 080-00.195000
15,2024-01-02,COLORADO,COLORADO SPRINGS,"PRELIM INFO FROM FAA OPS: COLORADO SPRINGS, CO/UAS SIGHTING/1217M/COLORADO SPRINGS ATCT ADVISED, EXPERIMENTAL VAN'S RV7, REPORTED A SMALL UAS WHILE ON EASTERN SIDE OF COLORADO SPRINGS ARPT. NO EVASIVE ACTION REPORTED. EL PASO COUNTY SHERIFF NOTIFIED.",,,1217M,COLORADO SPRINGS ATCT,,,,,
16,2024-01-02,GEORGIA,ATLANTA,"PRELIM INFO FROM FAA OPS: ATLANTA, GA/UAS SIGHTING/1328E/ATLANTA TRACON ADVISED, B738, RDU - ATL, REPORTED UAS FROM THE 3 O'CLOCK POSITION WHILE SW BOUND AT 5,000 FEET 15 NW ATL. NO EVASIVE ACTION TAKEN. ATLANTA PD NOTIFIED.",RDU,SW BOUND,1328E,ATLANTA TRACON,RDU - ATL,15 NW ATL,"AT 5,000 FEET",35.8776388888889,-78.7874722222222
17,2024-01-02,DISTRICT OF COLUMBIA,WASHINGTON,"PRELIM INFO FROM FAA OPS: WASHINGTON, DC/UAS SIGHTING/1654E/POTOMAC TRACON ADVISED, B738, REPORTED UAS 400 FEET ABOVE ACFT FROM THE 12 O'CLOCK POSITION WHILE E BOUND AT 14,000 FEET 15 SW DCA. NO EVASIVE ACTION TAKEN. FAIRFAX COUNTY PD NOTIFIED.",DCA,E BOUND,1654E,POTOMAC TRACON,,15 SW DCA,"AT 14,000 FEET",38.8514402777778,-77.0377213888889
18,2024-01-02,OKLAHOMA,TULSA,"PRELIM INFO FROM FAA OPS: CLAREMORE, OK/UAS SIGHTING/1816C/TULSA ATCT ADVISED, CESSNA C182, GCM - GCM, REPORTED A UAS WHILE N BOUND AT 1,800 FEET 15 ENE TUL. NO EVASIVE ACTION TAKEN. OKLAHOMA HIGHWAY PATROL NOTIFIED.",TUL,N BOUND,1816C,TULSA ATCT,GCM - GCM,15 ENE TUL,"AT 1,800 FEET",36.1983933333333,-95.8881052777778
19,2024-01-02,OKLAHOMA,TULSA,"CORRECTION INFO (LOCATION) FROM FAA OPS: TULSA, OK/UAS SIGHTING/1816C/TULSA ATCT ADVISED, CESSNA C182, GCM - GCM, REPORTED A UAS WHILE N BOUND AT 1,800 FEET 15 ENE TUL. NO EVASIVE ACTION TAKEN. OKLAHOMA HIGHWAY PATROL NOTIFIED.",TUL,N BOUND,1816C,TULSA ATCT,GCM - GCM,15 ENE TUL,"AT 1,800 FEET",36.1983933333333,-95.8881052777778
20,2024-01-03,PR,SAN JUAN,"PRELIM INFO FROM FAA OPS: SAN JUAN, PR/UAS SIGHTING/2040L/SAN JUAN CERAP ADVISED, C130, REPORTED A UAS AT TWY S7 VCNTY SJU. NO EVASIVE ACTION TAKEN. PILOT REPORTED UAS FLEW SE TOWARDS ANG RAMP. SAN JUAN PD NOTIFIED.",SAN,,2040L,SAN JUAN CERAP,,,,32.7335627777778,-117.189663333333
21,2024-01-04,VIRGINIA,HAMPTON,"PRELIM INFO FROM FAA OPS: HAMPTON, VA/UAS SIGHTING/1100E/NORFOLK ATCT ADVISED, F22, REPORTED A GOLD UAS 200 FEET FROM ACFT WHILE S BOUND AT 2,500 FEET 2 W LFI. NO EVASIVE ACTION TAKEN. HAMPTON PD NOTIFIED.",LFI,S BOUND,1100E,NORFOLK ATCT,,2 W LFI,"AT 2,500 FEET",37.0828861111111,-76.3605388888889
22,2024-01-05,PUERTO RICO,SAN JUAN,"PRELIM INFO FROM FAA OPS: SAN JUAN, PUERTO RICO/UAS SIGHTING/0829L/SAN JUAN CERAP ADVISED, A321, MCO - SAN JUAN, PUERTO RICO (SJU), REPORTED A UAS-BALLOON AT SAME ALTITUDE FROM THEIR 3 O'CLOCK POSITION WHILE ESE BOUND AT 2,000 FEET 9 W SJU. NO EVASIVE ACTION TAKEN. SAN JUAN ARPT PD NOTIFIED.",MCO,ESE BOUND,0829L,SAN JUAN CERAP,"MCO - SAN JUAN, PUERTO RICO (SJU)",9 W SJU,"AT 2,000 FEET",28.4293888888889,-81.309
