date_of_sighting,state,city,summary,faa_code,Facility Type,latitude,longitude,Facility Name,Direction,Time,Authority Advised,Route,Location,Altitude
2022-05-13,MASSACHUSETTS,BEDFORD,"PRELIM INFO FROM FAA OPS: BEDFORD, MA/UAS INCIDENT/1356E/HANSCOM ATCT REPORTED UAS AT 1,500 FEET 2 S BEDFORD. NO IMPACT TO OPERATIONS REPORTED.  MASSACHUSETTS STATE POLICE NOTIFIED. WOC 7-3333 RL/MK",TYQ,AIRPORT,40.0286108333333,-86.2514047222222,INDIANAPOLIS EXEC,,1356E,,,2 S BEDFORD. NO IMPACT TO OPERATIONS REPORTED.  MASSACHUSETTS STATE POLICE NOTIFIED,"AT 1,500 FEET"
2022-06-05,ARIZONA,YUMA,"PRELIM INFO FROM FAA OPS: YUMA, AZ/UAS INCIDENT/LATE REPORT 6-5 2127M/OPERATOR ADVISED, VTOL INDAGO III DRONE, UAS LOCATED DAMAGED AFTER HAND-HELD CONTROLS EXPERIENCED ANAMOLY WHILE ON MISSION VCNTY YUMA. NO IMPACT TO ATC OPERATIONS REPORTED. NO GROUND DAMAGES REPORTED. WOC 7-3333 RC/MK",AZ60,AIRPORT,32.7234330833333,-113.938305055556,CURRY RIDGE,,2127M,OPERATOR,,VCNTY YUMA. NO IMPACT TO ATC OPERATIONS REPORTED. NO GROUND DAMAGES REPORTED. WOC,
2021-07-08,TEXAS,CORPUS CHRISTI,"PRELIM INFO FROM FAA OPS: CORPUS CHRISTI, TX/UAS INCIDENT/1136C/CORPUS CHRISTI APCH ADVISED , PILATUS PC12, REPORTED A UAS FROM THE 10 O'CLOCK POSITION WHILE SE AT 5,000 FEET 1 NW CORPUS CHRISTI. NO EVASIVE ACTION TAKEN. CORPUS CHRISTI PD NOTIFIED.",YKM,AIRPORT,46.5681672222222,-120.5440625,YAKIMA AIR TRML/MCALLISTER FLD,,1136C,CORPUS CHRISTI APCH,,1 NW CORPUS CHRISTI. NO EVASIVE ACTION TAKEN. CORPUS CHRISTI PD NOTIFIED,"AT 5,000 FEET"
2021-07-14,ALABAMA,MOBILE,"PRELIM INFO FROM FAA OPS: MOBILE, AL/UAS INCIDENT/1438C/MOBILE APPROACH ADVISED , C130, REPORTED UAS AT THE 11 O'CLOCK POSITION AT 1,800 FEET 2 E MOBILE. EVASIVE ACTION WAS TAKEN. PIC REPORTED NMAC WITH UAS. MOBILE COUNTY SHERIFF NOTIFIED.",2AL6,HELIPORT,30.4919805555556,-88.1973083333333,DALE O GALER AERODROME,,1438C,MOBILE APPROACH,,2 E MOBILE. EVASIVE ACTION WAS TAKEN. PIC REPORTED NMAC WITH UAS. MOBILE COUNTY SHERIFF NOTIFIED,"AT 1,800 FEET"
2021-07-23,OHIO,MIDDLEFIELD,"PRELIM INFO FROM FAA OPS: MIDDLEFIELD, OH/UAS INCIDENT/1742E/CLE ATCT $  KODIAK 100, @ UAS CIRCLING OVER GEAUGA COUNTY AIRPORT WHILE AT 11,000 FEET, UAS WAS CIRCLING AT 8,000 FEET. NO EVASIVE ACTION @. FBI NOTIFIED.",5CL2,HELIPORT,37.0356,-121.571111111111,ST LOUISE RGNL HOSPITAL,,1742E,,,,
2021-07-31,OHIO,FOSTORIA,"CLOSE-OUT INFO FROM FAA OPS: FOSTORIA, OH/UAS INCIDENT/1702E/TOLEDO APCH ADVISED , PIPER P28A, SENECA COUNTY SHERIFF NOTIFIED.",,,41.1574297,-83.4141061,,,1702E,TOLEDO APCH,,,
2021-08-11,PENNSYLVANIA,YORK,"PRELIM INFO FROM FAA OPS: YORK, PA/UAS INCIDENT/LATE REPORT-0452E/HARRISBURG INTL ATCT RECEIVED A REPORT FROM PEACH BOTTOM NUCLEAR FACILITY OF A BLACK TRIANGULAR SHAPED UAS AT 300 FEET. NO IMPACT TO NAS REPORTED. NO LEO NOTIFICATION REPORTED.",9W8,HELIPORT,39.8523236111111,-76.4863533333333,BAUBLITZ COMMERCIAL,,0452E,,,,
2021-09-05,OHIO,ALLIANCE,"PRELIM INFO FROM FAA OPS: ALLIANCE, OH/UAS INCIDENT/1930E/CLEVELAND APPROACH ADVISED , CESSNA C208, OBSERVED A 4 ROTOR UAS WHILE CIRCLING AT 10,000 FEET OVER THE ALLIANCE ARPT. NO EVASIVE ACTION TAKEN. LEO NOT NOTIFIED.",ECP,AIRPORT,30.3582408333333,-85.7956022222222,NORTHWEST FLORIDA BEACHES INTL,,1930E,CLEVELAND APPROACH,,4 ROTOR UAS WHILE CIRCLING,"AT 10,000 FEET"
2021-09-06,FLORIDA,HOLLYWOOD,"PRELIM INFO FROM FAA OPS: HOLLYWOOD, FL/UAS INCIDENT/1140E/MIAMI APPROACH ADVISED , CESSNA C172, OBSERVED A UAS WHILE EASTBOUND AT 2,000 FEET, 10 E HOLLYWOOD. PILOT MANEUVERED TO RIGHT TO AVOID UAS. MIAMI-DADE PD NOTIFIED.",,,26.0112014,-80.1494901,,,1140E,MIAMI APPROACH,,10 E HOLLYWOOD. PILOT MANEUVERED TO RIGHT TO AVOID UAS. MIAMI-DADE PD NOTIFIED,
2021-09-29,NORTH CAROLINA,LIBERTY,"PRELIM INFO FROM FAA OPS: LIBERTY, NC/UAS INCIDENT/1717E/GREENSBORO APPROACH ADVISED , CESSNA C172, OBSERVED UAS ON RIGHT SIDE WHILE EASTBOUND AT 6,000 FEET, 11 SW LIB VOR. NO EVASIVE ACTION REPORTED. RANDOLPH COUNTY SHERIFF NOTIFIED.",FAI,AIRPORT,64.8153555555556,-147.856666666667,FAIRBANKS INTL,,1717E,GREENSBORO APPROACH,,11 SW LIB VOR. NO EVASIVE ACTION REPORTED. RANDOLPH COUNTY SHERIFF NOTIFIED,
2020-04-04,VIRGINIA,WOLF TRAP,"PRELIM INFO FROM FAA OPS: WOLF TRAP, VA/UAS INCIDENT/1648E/NCRCC ADVISED A CITIZEN REPORTED TWO INDIVIDUALS FLYING A UAS VCNTY WOLF TRAP. NO ACFT INVOLVED. FAIRFAX COUNTY PD NOTIFIED.",39AL,HELIPORT,31.4590555555556,-88.2344722222222,WASHINGTON COUNTY HOSPITAL ER,,1648E,NCRCC,,VCNTY WOLF TRAP. NO ACFT INVOLVED. FAIRFAX COUNTY PD NOTIFIED.,
2020-04-19,FLORIDA,TAMPA,"CLOSE-OUT INFO FROM FAA OPS: TAMPA, FL/UAS INCIDENT/1848E/TAMPA ARPT AUTHORITY SEARCHED THE AREA WITH NEGATIVE RESULTS. RESUMED NORMAL OPERATIONS AT 1845E.",11MN,SEAPLANE BASE,44.9538888888889,-93.5644444444444,POINT,,1848E,,,,
2020-05-22,MAINE,BANGOR,"PRELIM INFO FROM FAA OPS: BANGOR, ME/UAS INCIDENT/1705E/BANGOR ATCT RECEIVED PHONE CALL FROM NEARBY RESIDENT STATING A UAS WAS OPERATING AT 200 FEET NEAR A HOSPITAL 5 SE BANGOR. NO IMPACT TO OPERATIONS OR AIRCRAFT. LEOS NOT NOTIFIED.",4CA9,HELIPORT,33.9700833333333,-118.277605555556,RANDY CHAMPE-GARY HOWE MEML,,1705E,,,5 SE BANGOR. NO IMPACT TO OPERATIONS OR AIRCRAFT. LEOS NOT NOTIFIED,AT 200 FEET
2020-05-25,CALIFORNIA,MOJAVE,"FOLLOW UP INFO FROM FAA OPS: MOJAVE, CA/UAS INCIDENT/1045P/TSOC ADVISED OPERATOR WAS AUTHORIZED TO CONDUCT UAS OPERATIONS ON AIRPORT PROPERTY. NO ARRESTS WERE MADE. 7-3333 EC/SY",NY80,BALLOONPORT,42.6963888888889,-78.5691666666667,AURORA,,1045P,TSOC,,,
