,date_of_sighting,state,city,summary,drone_latitude,drone_longitude,drone_altitude_ft,Facility Name,Facility Type,Time,Time_UTC,index_right,airspace_name,min_altitude,max_altitude,alt_scaled
361,2022-04-17,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/2202C/CHICAGO TRACON ADVISED, B712, MSP - ORD, REPORTED A UAS WHILE E BOUND AT 1,700 FEET 2 W ORD. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC 7-3333 JO/HM",41.97693157926753,-87.95284047804321,1700,CHICAGO O'HARE INTL,AIRPORT,2202C,2022-04-18 04:02:00,30.0,CHICAGO CLASS B AREA A,3048.0,3048.0,1700
363,2022-04-19,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/0915C/CHICAGO ATCT ADVISED CITY COMMAND CENTER DETECTED UAS OPEARTING AT 50 FEET 1 S ORD. NO IMPACT TO OPERATIONS. NO ACFT REPORTED UAS. ORD COMMUNICATION CENTER NOTIFIED. WOC 7-3333 DJ/RC",41.96026650974951,-87.9081497222222,50,CHICAGO O'HARE INTL,AIRPORT,0915C,2022-04-19 15:15:00,30.0,CHICAGO CLASS B AREA A,3048.0,3048.0,50
525,2022-05-13,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1912C/CHICAGO TRACON ADVISED, B789, ORD - FRANKFURT, GERMANY (EDDF), REPORTED A WHITE UAS AT THE 2 O'CLOCK POSITION WHILE N BOUND AT 5,000 FEET 12 NE ORD. NO EVASIVE ACTIONS TAKEN. ATC CHANGED DEPARTURE HEADING TO DECONFLICT WITH THE UAS.  CHICAGO FBI NOTIFIED. WOC 7-3333 JO/GG",42.11826287480145,-87.71812221769088,5000,CHICAGO O'HARE INTL,AIRPORT,1912C,2022-05-14 01:12:00,32.0,CHICAGO CLASS B AREA C,3048.0,3048.0,5000
526,2022-05-13,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1915C/CHICAGO TRACON  ADVISED, B789, ORD - NEW DELHI, INDIA (VIDP), REPORTED A BLACK UAS AT THE 2 O'CLOCK POSITION WHILE N BOUND AT 2,500 FEET 7 NE ORD. NO EVASIVE ACTIONS TAKEN. ATC CHANGED DEPARTURE HEADING TO DECONFLICT WITH THE UAS.  CHICAGO FBI NOTIFIED. WOC 7-3333 JO/GG",42.059417128234415,-87.7974027327805,2500,CHICAGO O'HARE INTL,AIRPORT,1915C,2022-05-14 01:15:00,31.0,CHICAGO CLASS B AREA B,3048.0,3048.0,2500
601,2022-05-27,ILLINOIS,CHICAGO-PROSPECT HEIGHTS-WHEELING,"PRELIM INFO FROM FAA OPS: CHICAGO-PROSPECT HEIGHTS-WHEELING, IL/UAS INCIDENT/1835C/CHICAGO ARTCC ADVISED, A333, ORD - HELSINKI, FINLAND (EFHK), REPORTED WHITE UAS FROM THE 9 O'CLOCK POSITION WHILE N BOUND AT 13,500 FEET 16 NNE PWK. NO EVASIVE ACTION TAKEN. FBI NOTIFIED. WOC 7-3333 ER/RC",42.22332548521096,-87.77080009296851,13500,CHICAGO O'HARE INTL,AIRPORT,1835C,2022-05-28 00:35:00,33.0,CHICAGO CLASS B AREA D,3048.0,3048.0,6000
654,2022-06-04,GEORGIA,ATLANTA,"PRELIM INFO FROM FAA OPS: ATLANTA, GA/UAS INCIDENT/2026E/ATLANTA TRACON ADVISED, A321, ORD - ATL, REPORTED QUAD COPTER UAS 500 FEET ABOVE ACFT FROM THE 10 O'CLOCK POSITION WHILE SE BOUND AT 6,000 FEET 16 NW ATL. NO EVASIVE ACTION TAKEN. DOUGLAS COUNTY SHERIFF NOTIFIED. WOC 7-3333 ER/RC",42.165299535213904,-88.16170728761362,6000,CHICAGO O'HARE INTL,AIRPORT,2026E,2022-06-05 01:26:00,33.0,CHICAGO CLASS B AREA D,3048.0,3048.0,6000
807,2022-06-28,MASSACHUSETTS,BOSTON,"PRELIM INFO FROM FAA OPS: BOSTON, MA/UAS SIGHTING/1705E/BOSTON TRACON ADVISED, A320, BOS - ORD, REPORTED WHITE UAS WHILE E BOUND AT 5,000 FEET 5 E BOSTON. NO EVASIVE ACTION TAKEN. MASS STATE PD WERE NOTIFIED. WOC 7-3333 MK/EC",41.976885912115854,-87.79642288588279,5000,CHICAGO O'HARE INTL,AIRPORT,1705E,2022-06-28 22:05:00,30.0,CHICAGO CLASS B AREA A,3048.0,3048.0,5000
820,2022-06-30,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/1641C/CHICAGO TRACON ADVISED, E75L, MSO - ORD, REPORTED A UAS FROM THE 2 O'CLOCK POSITION WHILE W BOUND AT 4,000 FEET 19 E CHICAGO. NO EVASIVE ACTION TAKEN.  NO ENFORCEMENT NOTIFICATION NOT REPORTED. WOC 7-3333 EF/EC",41.97615524391057,-87.48359097942308,4000,CHICAGO O'HARE INTL,AIRPORT,1641C,2022-06-30 22:41:00,33.0,CHICAGO CLASS B AREA D,3048.0,3048.0,4000
824,2021-07-01,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1105C/CHICAGO EXECUTIVE ATCT ADVISED , CESSNA C421, OBSERVED A UAS OFF THE LEFT SIDE AT 1,700 FEET 12 NW ORD. NO EVASIVE ACTION TAKEN. LAKE COUNTY SHERIFF NOTIFIED.",42.11826287480145,-88.09817722675353,1700,CHICAGO O'HARE INTL,AIRPORT,1105C,2021-07-01 17:05:00,32.0,CHICAGO CLASS B AREA C,3048.0,3048.0,1700
867,2021-07-05,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1650C/CHICAGO TRACON ADVISED , PIPER PA28, REPORTED A BLACK UAS FROM THE 11 O'CLOCK POSITION WHILE SSE BOUND AT 1,500 FEET 12 ENE ORD. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.",42.05324121505437,-87.66011989562584,1500,CHICAGO O'HARE INTL,AIRPORT,1650C,2021-07-05 22:50:00,32.0,CHICAGO CLASS B AREA C,3048.0,3048.0,1500
955,2021-07-18,CALIFORNIA,LOS ANGELES,"PRELIM INFO FROM FAA OPS: LOS ANGELES, CA/UAS INCIDENT/1330P/SOCAL TRACON ADVISED , B738, ORD - LAX, REPORTED A WHITE UAS AT 9 O'CLOCK POSITION AT 3,600 FEET WHILE WSW BOUND 14 ENE LAX. NO EVASIVE ACTION TAKEN. LAPD NOTIFIED.",42.06590577669905,-87.61872397145918,3600,CHICAGO O'HARE INTL,AIRPORT,1330P,2021-07-18 10:30:00,32.0,CHICAGO CLASS B AREA C,3048.0,3048.0,3600
984,2021-07-24,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1515C/CHICAGO TRACON ADVISED , CRJ7, MEM - ORD, REPORTED A UAS FROM THE 12 O'CLOCK POSITION WHILE NE BOUND AT 10,000 FEET 25 SW ORD. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.",41.68150455708313,-88.3013515594997,10000,CHICAGO O'HARE INTL,AIRPORT,1515C,2021-07-24 21:15:00,,,,,6000
1002,2021-07-28,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1821C/CHICAGO ATCT ADVISED , CRJ2, ORD - HPN, REPORTED UAS AT 1,200 FEET WHILE W BOUND 1 E ORD. EVASIVE ACTION NOT REPORTED. CHICAGO DEPARMENT OF AVIATION NOTIFIED (NO PHONE NUMBER PROVIDED).",41.97693810315007,-87.88580434279132,1200,CHICAGO O'HARE INTL,AIRPORT,1821C,2021-07-29 00:21:00,30.0,CHICAGO CLASS B AREA A,3048.0,3048.0,1200
1016,2021-07-31,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS INCIDENT/1222C/CHICAGO TRACON ADVISED , CRJ7, OKC - ORD, REPORTED A BLACK UAS WITH RED LIGHTS OFF RIGHT SIDE OF ACFT WHILE E BOUND AT 5,000 FEET 20 E ORD. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.",41.9760704349667,-87.46124617771437,5000,CHICAGO O'HARE INTL,AIRPORT,1222C,2021-07-31 18:22:00,33.0,CHICAGO CLASS B AREA D,3048.0,3048.0,5000
