,Day of Sighting,State,City,Summary,Date,code,Direction,Time,Authority Advised,Route,Location,Altitude,ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
0,4/1/2022,PENNSYLVANIA,PITTSBURGH,"PRELIM INFO FROM FAA OPS: PITTSBURGH, PA/UAS INCIDENT/2358E/ALLEGHENY COUNTY ATCT ADVISED, HELO,  REPORTED A UAS FROM THE 9 O'CLOCK POSITION WHILE S BOUND AT 1,600 FEET 6 N AGC. NO EVASIVE ACTION TAKEN. PITTSBURGH PD NOTIFIED WOC 7-3333 TB/ER",,AGC,S BOUND,2358E,ALLEGHENY COUNTY ATCT,,6 N AGC,"AT 1,600 FEET",KAGC,medium_airport,Allegheny County Airport,1252.0,,US,US-PA,Pittsburgh,KAGC,AGC,KAGC,AGC,"40.354401, -79.930199"
1,4/1/2022,FLORIDA,MIAMI,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS INCIDENT/1205E/MIAMI-OPA LOCKA ATCT ADVISED, HAWKER BEECHCRAFT H25B, DAL - OPF, REPORTED A UAS AT THE 12 O'CLOCK POSITION WHILE W BOUND AT 1,500 FEET 5 E OPF. NO EVASIVE ACTION TAKEN. MIAMI-DADE PD NOTIFIED. WOC 7-3333 HM/GG",,OPF,W BOUND,1205E,,DAL - OPF,5 E OPF,"AT 1,500 FEET",KOPF,medium_airport,Miami-Opa Locka Executive Airport,8.0,,US,US-FL,Miami,KOPF,OPF,KOPF,OPF,"25.907, -80.278397"
2,4/1/2022,WASHINGTON,SEATTLE,"PRELIM INFO FROM FAA OPS: SEATTLE, WA/UAS INCIDENT/1210P/SEATTLE TRACON ADVISED, CESSNA C680, HDN - BFI, OBSERVED TWO WHITE QUADCOPTER UAS WHILE NNE BOUND AT 3,000 FEET 15 WNW SEATTLE. NO EVASIVE ACTION TAKEN. KING COUNTY PD NOTIFIED VIA 911. WOC 7-3333 GG/JW",,BFI,NNE BOUND,1210P,SEATTLE TRACON,HDN - BFI,15 WNW SEATTLE,"AT 3,000 FEET",KBFI,medium_airport,Boeing Field King County International Airport,21.0,,US,US-WA,Seattle,KBFI,BFI,KBFI,BFI,"47.529999, -122.302002"
3,4/1/2022,ALABAMA,MOBILE,"PRELIM INFO FROM FAA OPS: MOBILE, AL/UAS INCIDENT/1859C/MOBILE APCH ADVISED CANADIAN, LEARJET LJ45, BFM - FMY, REPORTED A WHITE QUADCOPTER UAS FROM THE 12 O'CLOCK POSITION WHILE SE BOUND AT 6,000 FEET 14 N SEMMES VOR. NO EVASIVE ACTION TAKEN. MOBILE COUNTY SHERIFF NOTIFIED. WOC 7-3333 TB/DJ",,BFM,SE BOUND,1859C,MOBILE APCH,BFM - FMY,14 N SEMMES VOR,"AT 6,000 FEET",KBFM,medium_airport,Mobile Downtown Airport,26.0,,US,US-AL,Mobile,KBFM,BFM,KBFM,BFM,"30.626800537100003, -88.06809997559999"
4,4/1/2022,WASHINGTON,SEATTLE,"PRELIM INFO FROM FAA OPS: SEATTLE, WA/UAS INCIDENT/1805P/SEATTLE TRACON ADVISED, B39M, KEFLAVIK, ICELAND (BIKF) - SEA, REPORTED UAS 200 FEET ABOVE ACFT WHILE W BOUND AT 7,000 FEET 17 N SEA. NO EVASIVE ACTION REPORTED. PORT OF SEATTLE PD NOTIFIED VIA 911. WOC 7-3333 DJ/JG",,SEA,W BOUND,1805P,SEATTLE TRACON,"KEFLAVIK, ICELAND (BIKF) - SEA",17 N SEA,"AT 7,000 FEET",KSEA,large_airport,Seattle–Tacoma International Airport,433.0,,US,US-WA,Seattle,KSEA,SEA,KSEA,SEA,"47.447943, -122.310276"
5,4/2/2022,NEW JERSEY,NEWARK,"PRELIM INFO FROM FAA OPS: NEWARK, NJ/UAS INCIDENT/1240E/NEWARK ATCT ADVISED, B738, DFW - EWR, OBSERVED A RED UAS WHILE SOUTHBOUND AT 1,300 FEET 3 N NEWARK. NO EVASIVE ACTION TAKEN. NEWARK ARPT PD NOTIFIED. WOC 7-3333 GG/JF",,DFW,,1240E,NEWARK ATCT,DFW - EWR,3 N NEWARK,"AT 1,300 FEET",KDFW,large_airport,Dallas Fort Worth International Airport,607.0,,US,US-TX,Dallas-Fort Worth,KDFW,DFW,KDFW,DFW,"32.896801, -97.038002"
6,4/2/2022,NEW JERSEY,NEWARK,"PRELIM INFO FROM FAA OPS: NEWARK, NJ/UAS INCIDENT/1242E/NEWARK ATCT ADVISED, A333, STOCKHOLM, SWEDEN (ESSA) - EWR, OBSERVED A RED UAS AT THE 3 O'CLOCK POSITION WHILE SOUTHBOUND AT 1,300 FEET 3 N NEWARK. NO EVASIVE ACTION TAKEN. NEWARK ARPT PD NOTIFIED. WOC 7-3333 GG/JF",,EWR,,1242E,NEWARK ATCT,"STOCKHOLM, SWEDEN (ESSA) - EWR",3 N NEWARK,"AT 1,300 FEET",KEWR,large_airport,Newark Liberty International Airport,18.0,,US,US-NJ,Newark,KEWR,EWR,KEWR,EWR,"40.692501, -74.168701"
7,4/2/2022,NEW JERSEY,NEWARK,"PRELIM INFO FROM FAA OPS: NEWARK, NJ/UAS INCIDENT/1243E/NEWARK ATCT ADVISED, B763, LONDON, UNITED KINGDOM (EGLL) - EWR, REPORTED A RED UAS AT SAME ALTITUDE WHILE S BOUND AT 1,300 FEET 3 N EWR. NO EVASIVE ACTION TAKEN. NEWARK INTL ARPT PD NOTIFIED. WOC 7-3333 JF/GG",,EWR,S BOUND,1243E,NEWARK ATCT,"LONDON, UNITED KINGDOM (EGLL) - EWR",3 N EWR,"AT 1,300 FEET",KEWR,large_airport,Newark Liberty International Airport,18.0,,US,US-NJ,Newark,KEWR,EWR,KEWR,EWR,"40.692501, -74.168701"
8,4/2/2022,FLORIDA,FORT LAUDERDALE,"PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS INCIDENT/1425E/MIAMI ARTCC ADVISED A20N, PWM - FLL, REPORTED A BLUE AND WHITE UAS FROM SAME ALTITUDE WHILE S BOUND AT 7,000 FEET 15 NE FLL. NO EVASIVE ACTION TAKEN. BROWARD COUNTY PD NOTIFIED. WOC 7-3333 JF/GG",,FLL,S BOUND,1425E,MIAMI ARTCC,PWM - FLL,15 NE FLL,"AT 7,000 FEET",KFLL,large_airport,Fort Lauderdale Hollywood International Airport,9.0,,US,US-FL,Fort Lauderdale,KFLL,FLL,KFLL,FLL,"26.072599, -80.152702"
9,4/2/2022,TEXAS,FORT WORTH,"PRELIM INFO FROM FAA OPS: FORT WORTH, TX/UAS INCIDENT/1345C/ALLIANCE ATCT ADVISED, GULFSTREAM AEROSPACE G280, REPORTED A BLACK UAS  WHILE NNW BOUND AT 300 FEET ON FINAL FORT WORTH (AFW). NO EVASIVE ACTION REPORTED. LEO NOTIFICATION NOT REPORTED. WOC 7-3333 JW/GG",,AFW,NNW BOUND,1345C,ALLIANCE ATCT,,,AT 300 FEET,KAFW,medium_airport,Perot Field/Fort Worth Alliance Airport,722.0,,US,US-TX,Fort Worth,KAFW,AFW,KAFW,AFW,"32.99044, -97.31947"
11,4/2/2022,NEW JERSEY,TETERBORO,"PRELIM INFO FROM FAA OPS: TETERBORO, NJ/UAS INCIDENT/1745E/NEW YORK TRACON ADVISED, GULFSTREAM GLF4, REPORTED A GREEN UAS AT 2,500 FEET WHILE E BOUND 11 NW TEB. NO EVASIVE ACTION TAKEN. NJ HOMELAND SECURITY NOTIFIED. WOC 7-3333 RL/EF",,TEB,E BOUND,1745E,NEW YORK TRACON,,11 NW TEB,"AT 2,500 FEET",KTEB,medium_airport,Teterboro Airport,9.0,,US,US-NJ,Teterboro,KTEB,TEB,KTEB,TEB,"40.850101, -74.060799"
12,4/3/2022,ILLINOIS,SPRINGFIELD,"SPRINGFIELD, IL (SPI): ILU45X, P28A, TAZ-CMI, DURING DEPARTURE REPORTED A YELLOW DRONE 300 FEET ABOVE DEPARTURE END OF RWY 18 SOUTHBOUND. NO EVASIVE ACTION REPORTED. CLOSEST PROXIMITY: 50 FT AT 9 O'CLOCK POSITION. LAW ENFORCEMENT NOTIFICATION NOT REPORTED. 04/03/2022 1750Z",,SPI,,,,,,,KSPI,medium_airport,Abraham Lincoln Capital Airport,598.0,,US,US-IL,Springfield,KSPI,SPI,KSPI,SPI,"39.844101, -89.677902"
13,4/3/2022,FLORIDA,ORLANDO,"PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS INCIDENT/1508E/ORLANDO ATCT ADVISED, LJ45, REPORTED A BLUE AND WHITE UAS AT 1,600 FEET ON LEFT SIDE OF NOSE WHILE ON 6.5 MILE FINAL RUNWAY36L. THE PILOT ADVISED IT LOOKED LIKE A SMALL BLIMP.  NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC 7-3333 EC/MK",,AND,,1508E,ORLANDO ATCT,,,"AT 1,600 FEET",KAND,medium_airport,Anderson Regional Airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001"
