,Day of Sighting,x,y,z,State,City,Date,code,Direction,Time,Authority Advised,Route,Location,Altitude,ident,type,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates,latitude,longitude,alt_meters
0,4/1/2022,851040.1051297238,-4792340.805780576,4108052.524075393,PENNSYLVANIA,PITTSBURGH,,AGC,S BOUND,2358E,ALLEGHENY COUNTY ATCT,,6 N AGC,"AT 1,600 FEET",KAGC,medium_airport,1252.0,,US,US-PA,Pittsburgh,KAGC,AGC,KAGC,AGC,"40.354401, -79.930199",40.354401,-79.930199,0.0
1,4/1/2022,969402.6871673361,-5658392.5412636865,2769797.8146393104,FLORIDA,MIAMI,,OPF,W BOUND,1205E,,DAL - OPF,5 E OPF,"AT 1,500 FEET",KOPF,medium_airport,8.0,,US,US-FL,Miami,KOPF,OPF,KOPF,OPF,"25.907, -80.278397",25.907,-80.278397,0.0
2,4/1/2022,-2305541.890604052,-3646724.516826246,4681750.408447433,WASHINGTON,SEATTLE,,BFI,NNE BOUND,1210P,SEATTLE TRACON,HDN - BFI,15 WNW SEATTLE,"AT 3,000 FEET",KBFI,medium_airport,21.0,,US,US-WA,Seattle,KBFI,BFI,KBFI,BFI,"47.529999, -122.302002",47.529999,-122.302002,0.0
3,4/1/2022,185184.21793966633,-5490063.007953965,3230358.87235165,ALABAMA,MOBILE,,BFM,SE BOUND,1859C,MOBILE APCH,BFM - FMY,14 N SEMMES VOR,"AT 6,000 FEET",KBFM,medium_airport,26.0,,US,US-AL,Mobile,KBFM,BFM,KBFM,BFM,"30.626800537100003, -88.06809997559999",30.626800537100003,-88.06809997559999,0.0
4,4/1/2022,-2309663.0271417983,-3652075.2855080604,4675585.693572231,WASHINGTON,SEATTLE,,SEA,W BOUND,1805P,SEATTLE TRACON,"KEFLAVIK, ICELAND (BIKF) - SEA",17 N SEA,"AT 7,000 FEET",KSEA,large_airport,433.0,,US,US-WA,Seattle,KSEA,SEA,KSEA,SEA,"47.447943, -122.310276",47.447943,-122.310276,0.0
5,4/2/2022,-656833.8325285534,-5320307.282765238,3444354.335294477,NEW JERSEY,NEWARK,,DFW,,1240E,NEWARK ATCT,DFW - EWR,3 N NEWARK,"AT 1,300 FEET",KDFW,large_airport,607.0,,US,US-TX,Dallas-Fort Worth,KDFW,DFW,KDFW,DFW,"32.896801, -97.038002",32.896801,-97.038002,0.0
6,4/2/2022,1321178.1819014656,-4659228.444613047,4136591.3455323847,NEW JERSEY,NEWARK,,EWR,,1242E,NEWARK ATCT,"STOCKHOLM, SWEDEN (ESSA) - EWR",3 N NEWARK,"AT 1,300 FEET",KEWR,large_airport,18.0,,US,US-NJ,Newark,KEWR,EWR,KEWR,EWR,"40.692501, -74.168701",40.692501,-74.168701,0.0
7,4/2/2022,1321178.1819014656,-4659228.444613047,4136591.3455323847,NEW JERSEY,NEWARK,,EWR,S BOUND,1243E,NEWARK ATCT,"LONDON, UNITED KINGDOM (EGLL) - EWR",3 N EWR,"AT 1,300 FEET",KEWR,large_airport,18.0,,US,US-NJ,Newark,KEWR,EWR,KEWR,EWR,"40.692501, -74.168701",40.692501,-74.168701,0.0
8,4/2/2022,980438.7272282552,-5648331.131821598,2786288.835050178,FLORIDA,FORT LAUDERDALE,,FLL,S BOUND,1425E,MIAMI ARTCC,PWM - FLL,15 NE FLL,"AT 7,000 FEET",KFLL,large_airport,9.0,,US,US-FL,Fort Lauderdale,KFLL,FLL,KFLL,FLL,"26.072599, -80.152702",26.072599,-80.152702,0.0
9,4/2/2022,-682242.5482949241,-5311414.95120618,3453069.396062665,TEXAS,FORT WORTH,,AFW,NNW BOUND,1345C,ALLIANCE ATCT,,,AT 300 FEET,KAFW,medium_airport,722.0,,US,US-TX,Fort Worth,KAFW,AFW,KAFW,AFW,"32.99044, -97.31947",32.99044,-97.31947,0.0
10,4/2/2022,-3450925.2721468937,5188145.847019527,1357376.7696905048,TENNESSEE,MURFREESBORO,,MBT,,1347C,NASHVILLE APCH,,3 SE MURFREESBORO (MBT),"AT 2,000 FEET",RPVJ,medium_airport,49.0,AS,PH,PH-MAS,Masbate,RPVJ,MBT,RPVJ,,"12.369682, 123.630095",12.369682,123.630095,0.0
11,4/2/2022,1326811.6669172912,-4645742.355854818,4149845.540695492,NEW JERSEY,TETERBORO,,TEB,E BOUND,1745E,NEW YORK TRACON,,11 NW TEB,"AT 2,500 FEET",KTEB,medium_airport,9.0,,US,US-NJ,Teterboro,KTEB,TEB,KTEB,TEB,"40.850101, -74.060799",40.850101,-74.060799,0.0
12,4/3/2022,27567.494059716522,-4903738.682801421,4064710.256509324,ILLINOIS,SPRINGFIELD,,SPI,,,,,,,KSPI,medium_airport,598.0,,US,US-IL,Springfield,KSPI,SPI,KSPI,SPI,"39.844101, -89.677902",39.844101,-89.677902,0.0
13,4/3/2022,667806.5665590948,-5219837.740713112,3591798.1014965763,FLORIDA,ORLANDO,,AND,,1508E,ORLANDO ATCT,,,"AT 1,600 FEET",KAND,medium_airport,782.0,,US,US-SC,Anderson,KAND,AND,KAND,AND,"34.4945983887, -82.70939636230001",34.4945983887,-82.70939636230001,0.0
14,4/3/2022,826928.9695440648,-5342933.309203484,3372422.5492980033,CALIFORNIA,SAN FRANCISCO,,SAV,NW BOUND,1410P,NORCAL TRACON,SAV - MDW,4 NE SFO,"AT 3,700 FEET",KSAV,large_airport,50.0,,US,US-GA,Savannah,KSAV,SAV,KSAV,SAV,"32.127602, -81.202103",32.127602,-81.202103,0.0
15,4/3/2022,-2450816.815800414,-4687781.310649563,3551594.583193032,WASHINGTON,SEATTLE,,ONT,SE BOUND,1414P,SEATTLE TRACON,SEA - ONT,4 SE SEA,"AT 3,500 FEET",KONT,large_airport,944.0,,US,US-CA,Ontario,KONT,ONT,KONT,ONT,"34.056, -117.600998",34.056,-117.600998,0.0
16,4/3/2022,-2708495.019896337,-4272053.777251335,3872104.885587287,CALIFORNIA,SAN FRANCISCO,,SFO,NW BOUND,1430P,SAN FRANCISCO ATCT,"TORONTO, CANADA (CYYZ) - SFO",,"AT 1,800 FEET",KSFO,large_airport,13.0,,US,US-CA,San Francisco,KSFO,SFO,KSFO,SFO,"37.619806, -122.374821",37.619806,-122.374821,0.0
17,4/4/2022,745345.1658511035,-5279668.532516515,3488292.5506109204,LOUISIANA,NEW ORLEANS,,AGS,SE BOUND,1125C,NEW ORLEANS APCH,AGS - MSY,5 WNW MSY,"AT 1,600 FEET",KAGS,medium_airport,144.0,,US,US-GA,Augusta,KAGS,AGS,KAGS,AGS,"33.3699, -81.9645",33.3699,-81.9645,0.0
